key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code
3146,3209930,CLAWSON CITY SCHOOL DISTRICT,1421 NORTH MAIN STREET,CLAWSON  MICH,Oakland,Michigan,7.0,,0,7,0,17,16,5048,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209930
3147,3210080,CLINTONDALE COMM SCHOOLS,35200 LITTLE MACK,MT CLEMENS  MICH,Macomb,Michigan,48043.0,,7,0,380,4,39,4643,0,0,0,7,0,0,0,25,5,0,149,0,0,27,5,0,167,0,0,0,0,0,0,0,0,0,214748364806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210080
3148,3210110,CLIO AREA SCHOOL DISTRICT,,CLIO  MICH,Genesee,Michigan,48420.0,,8,11,22,1,15,5209,0,0,0,13,0,0,0,0,1,1,185,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0,107374182414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210110
3149,3210140,COLDWATER COMM SCHOOLS,15 E WASHINGTON ST,COLDWATER  MICH,Branch,Michigan,49036.0,,10,0,6,0,28,4533,0,0,0,1,0,0,0,0,0,0,181,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,51539607553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210140
3150,3210200,COLEMAN COMMUNITY SCH DIST,BOX B,COLEMAN  MICH,Midland,Michigan,48618.0,,4,3,5,0,2,1453,0,0,0,2,0,0,0,0,0,0,58,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,240518168579,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210200
3151,3210380,COLOMA COMMUNITY SCHOOLS,218,COLOMA  MICH,Berrien,Michigan,4903.0,,6,19,12,5,44,2971,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,47244640269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210380
3152,3210410,N COMMUNITY SCHOOL DIST,400 DALLAS STREET,N  MICH,Berrien,Michigan,49040.0,,3,0,0,0,0,1195,0,0,0,5,0,0,0,0,0,0,52,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,322122547204,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210410
3153,3210590,COMSTOCK PUBLIC     OLS,,COMSTOCK  MICH,Berrien,Michigan,1.0,,7,8,55,16,27,3376,0,0,0,0,0,0,0,1,0,1,154,0,0,1,0,1,201,0,0,0,0,0,0,0,0,0,167503724547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210590
3154,3210620,PARK SCHOOL DIST,109 SCHOOL STREET,PARK  M,Kent,Michigan,4932.0,,5,3,0,1,6,2073,0,0,0,19,0,0,0,0,1,0,87,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0,176093659144,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210620
3155,3210650,CONCORD COMMUNITY SCHOOLS,405 SOUTH MAIN,CONCORD  MICH,Jackson,Michigan,49237.0,,3,1,13,0,9,1210,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,163208757253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210650
3156,3210750,CONSTANTINE PUBLIC SCH DIST,260 W SIXTH STREET,CONSTANTINE  MIC,Jackson,Michigan,49042.0,,4,0,18,0,1,1592,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,322122547200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210740
