key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1955,2404320,HAMMOND SCHOOL CITY,5935 HAHMAN AVENUE,Hammond,Lake,Indiana,46320,DR. O. L. RAPP,28,51,1637,54,873,20918,0,0,0,0,0,0,0,0,0,0,1,48,5,6,1045,0,0,3,0,0,67,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1956,2404350,HANOVER TOWNSHIP SCHOOLS,RT 1 BOX 208,Cedar Lake,Lake,Indiana,46303,"GEORGE S. MALO, TRUS",2,0,0,0,8,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1957,2404560,SCHOOL TOWN OF HIGHLAND,8008 KENNEDY AVENUE,Highland,Lake,Indiana,46322,ALLEN J. WARREN,8,0,0,1,42,6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,9,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1958,2404590,HOBART SCHOOL CITY,32 EAST SEVENTH STREET,Hobart,Lake,Indiana,4634,KENNETH E. NORRIS,7,4,0,2,32,5517,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1959,2404620,RT TOWNSHIP SCHOOLS,17 N. MAIN ST.,Hobart,Lake,Indiana,,CLARK N. JOHNSON,4,6,7,0,295,2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1960,2407350,MUNSTER PUBLIC SCHOOLS,8816 COLUMBIA AVENUE,Munster,Lake,Indiana,46321,"FRANK H. HAMMOND, SU",5,0,1,22,25,3798,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,0,0,1,0,15,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1961,2409690,ROSS TOWNSHIP SCHOOL CORPORATION,63 WEST 68TH PLACE,Merrillville,Lake,Indiana,46410,EDGAR L. MILLER,9,0,3,4,77,6749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,18,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1962,2405450,LAKE CENTRAL SCHOOL CORPORATION,BOX 336,ST JOHN,Lake,Indiana,46373,GEORGE BIBICH,6,0,0,5,65,4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1963,2413200,SCHOOL CITY OF WHITING,1751 OLIVER STREET,Whiting,Lake,Indiana,46394,MR. STEPHEN B. FOWDY,3,1,0,0,45,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,2.37684487542793E+029,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1964,2405460,LAKE RIDGE SCHOOLS,106 EAST RIDGE ROAD,Griffith,Lake,Indiana,46319,ALFRED E. SPECK,9,11,664,4,391,5208,0,0,0,0,0,0,0,0,0,0,0,21,1,2,218,0,0,0,0,0,11,0,0,0,701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
